,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches,-9999
619,Bruno Pacheco,br BRA,DF,Fortaleza,33,1991,15,1261,84,36.9,14.0,15,84,11,0,,9,1.13,17,20,-3,-0.21,+0.29,Matches,9b7976e6
620,Luis Pacheco,br BRA,MF,Palmeiras,16,2008,2,18,9,0.5,0.2,0,,0,2,9,0,3.00,0,0,0,0.00,-0.87,Matches,ffba37be
621,Gonçalo Paciência,pt POR,FW,Sport Recife,30,1994,6,196,33,5.7,2.2,3,48,0,3,17,10,0.33,2,7,-5,-2.30,-1.12,Matches,962e54cb
622,Brahian Palacios,co COL,MF,Atlético Mineiro,22,2002,1,8,8,0.2,0.1,0,,0,1,8,3,3.00,0,0,0,0.00,+0.03,Matches,61a05353
623,Diego Palacios,ec ECU,DF,Corinthians,25,1999,0,,,,,0,,0,0,,1,,,,,,,Matches,6ec37f2e
624,Sergio Palacios,co COL,DF,RB Bragantino,19,2005,2,71,36,2.1,0.8,1,45,0,1,26,5,1.50,1,2,-1,-1.27,-0.97,Matches,e47c977a
625,Kaio Pantaleão,br BRA,DF,Botafogo–RJ,29,1995,11,933,85,27.3,10.4,11,85,8,0,,0,1.73,15,10,+5,+0.48,-0.06,Matches,a9be27f2
626,Rayan Passaglia Lelis,br BRA,MF,Cruzeiro,18,2007,1,64,64,1.9,0.7,1,64,0,0,,6,0.00,0,3,-3,-4.22,-4.94,Matches,199a71d2
627,Alan Patrick,br BRA,MFFW,Internacional,33,1991,30,2506,84,73.3,27.8,30,84,17,0,,0,1.30,36,39,-3,-0.11,+0.88,Matches,00672021
628,Patryck,br BRA,MFDF,São Paulo,22,2003,5,309,62,9.0,3.4,3,72,1,2,46,26,0.80,3,6,-3,-0.87,-0.84,Matches,8dcbd7af
629,Patrick de Paula,br BRA,MF,Botafogo–RJ,25,1999,6,284,47,8.3,3.2,4,62,0,2,19,4,0.83,2,2,0,0.00,-0.57,Matches,9f12fbb7
