,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches,-9999
712,Riquelme,br BRA,MF,Fluminense,17,2007,6,99,17,2.9,1.1,0,,0,6,17,14,2.17,2,1,+1,+0.91,+0.64,Matches,ce31d798
713,Christian Rivera,co COL,MF,Sport Recife,29,1996,33,2729,83,79.8,30.3,32,85,23,1,17,1,0.42,23,62,-39,-1.29,-0.24,Matches,7c094b1a
714,Robert,br BRA,GK,Atlético Mineiro,19,2005,0,,,,,0,,0,0,,19,,,,,,,Matches,f0b3d428
715,Pablo Roberto,br BRA,MF,Fortaleza,25,1999,5,116,23,3.4,1.3,1,45,0,4,18,3,0.83,1,5,-4,-3.10,-2.80,Matches,880d2226
716,Paulo Roberto,br BRA,DF,Vitória,19,2005,2,96,48,2.8,1.1,2,48,0,0,,8,1.50,1,0,+1,+0.94,+1.42,Matches,a5898315
717,Kaique Rocha,br BRA,DF,Internacional,23,2001,0,,,,,0,,0,0,,6,,,,,,,Matches,b31d385e
718,Marcos Rocha,br BRA,DF,Palmeiras,36,1988,1,90,90,2.6,1.0,1,90,1,0,,10,1.00,2,2,0,0.00,-0.89,Matches,fdd2f275
719,Marcos Rocha,br BRA,DF,Grêmio,36,1988,12,959,80,28.0,10.7,12,80,8,0,,0,1.75,20,13,+7,+0.66,+1.02,Matches,fdd2f275
720,Sergio Rochet,uy URU,GK,Internacional,31,1993,15,1305,87,38.2,14.5,15,87,14,0,,1,1.40,21,25,-4,-0.28,+0.11,Matches,81b99b9e
721,Rodrigo,br BRA,MF,São Paulo,20,2004,18,724,40,21.2,8.0,8,66,2,10,20,7,1.39,7,11,-4,-0.50,-0.50,Matches,1126f4e2
722,Alisson Rodrigues,br BRA,DF,Internacional,16,2008,1,26,26,0.8,0.3,0,,0,1,26,10,0.00,0,0,0,0.00,+0.34,Matches,8434bef6
723,Ruben Rodrigues,pt POR,FWMF,Vitória,28,1996,4,26,7,0.8,0.3,0,,0,4,7,5,0.75,0,2,-2,-6.92,-6.53,Matches,b4c136b7
724,Alan Rodríguez,uy URU,MF,Internacional,25,2000,15,943,63,27.6,10.5,11,77,5,4,25,0,1.13,15,22,-7,-0.67,-0.45,Matches,fcd24b4b
725,Guzmán Rodríguez,uy URU,DF,RB Bragantino,24,2000,23,2051,89,60.0,22.8,23,89,22,0,,3,1.43,29,31,-2,-0.09,+0.57,Matches,33f2fd18
726,Luciano Rodríguez,uy URU,FW,Bahia,21,2003,18,791,44,23.1,8.8,8,65,2,10,27,1,1.78,11,15,-4,-0.46,-0.73,Matches,8ccc9220
727,Santiago Rodríguez,uy URU,MF,Botafogo–RJ,25,2000,26,1328,51,38.8,14.8,14,79,3,12,19,4,1.73,24,16,+8,+0.54,+0.03,Matches,86dff811
728,Rodriguinho,br BRA,MF,Cruzeiro,21,2003,1,15,15,0.4,0.2,0,,0,1,15,9,0.00,0,1,-1,-6.00,-6.66,Matches,4565dde3
729,Rodriguinho,br BRA,MF,Ceará,21,2003,4,33,8,1.0,0.4,0,,0,4,8,6,0.50,0,1,-1,-2.73,-2.59,Matches,4565dde3
730,Agustín Rogel,uy URU,DF,Internacional,27,1997,5,450,90,13.2,5.0,5,90,5,0,,7,1.00,4,6,-2,-0.40,-0.07,Matches,ea42c03f
731,Benjamín Rollheiser,ar ARG,MFFW,Santos,24,2000,36,2212,61,64.7,24.6,27,75,8,9,20,0,1.19,23,31,-8,-0.33,-0.55,Matches,e8c4a824
732,Iván Román,cl CHI,DF,Atlético Mineiro,18,2006,12,701,58,20.5,7.8,8,76,3,4,23,19,1.42,5,13,-8,-1.03,-1.26,Matches,8ee6a7c1
733,Romarinho,br BRA,MF,Vitória,34,1990,5,124,25,3.6,1.4,1,70,0,4,14,2,0.00,0,3,-3,-2.18,-1.80,Matches,d73461ea
734,Romarinho,br BRA,MFFW,Sport Recife,30,1994,26,912,35,26.7,10.1,7,74,3,19,21,11,0.27,11,27,-16,-1.58,-0.47,Matches,1e7d2cc0
735,Ángel Romero,py PAR,FWMF,Corinthians,32,1992,27,1068,40,31.2,11.9,11,72,2,16,17,8,1.22,11,19,-8,-0.67,-0.79,Matches,36edfb9b
736,Lucas Romero,ar ARG,MF,Cruzeiro,30,1994,33,2832,86,82.8,31.5,32,87,23,1,45,0,1.94,44,23,+21,+0.67,+0.21,Matches,d89e48b8
737,Óscar Romero,py PAR,MF,Internacional,32,1992,17,505,30,14.8,5.6,5,54,0,12,19,15,1.12,4,12,-8,-1.43,-1.27,Matches,4bc5f2b4
738,Romulo,br BRA,MF,Ceará,23,2001,9,133,15,3.9,1.5,0,,0,9,15,6,1.22,0,4,-4,-2.71,-2.65,Matches,58a061ba
739,Rômulo,br BRA,DF,Atlético Mineiro,21,2004,3,209,70,6.1,2.3,2,75,1,1,59,9,1.33,3,4,-1,-0.43,-0.43,Matches,a5dedc6e
740,Ronald,br BRA,MF,Vitória,27,1997,29,1871,65,54.7,20.8,23,75,8,6,24,6,1.24,21,28,-7,-0.34,+0.24,Matches,cc119c66
741,Ronald,br BRA,DF,Grêmio,21,2003,6,233,39,6.8,2.6,1,90,1,5,29,7,1.83,5,3,+2,+0.77,+0.91,Matches,5334ff3f
742,Ronaldo,br BRA,GK,Bahia,28,1996,28,2448,87,71.6,27.2,28,87,27,0,,5,1.36,37,37,0,0.00,-0.37,Matches,711c08dc
743,Ronaldo,br BRA,MF,Internacional,28,1996,15,774,52,22.6,8.6,6,89,5,9,27,5,1.20,7,12,-5,-0.58,-0.31,Matches,8a3b002a
744,Budiga Roni,br BRA,MF,Mirassol,25,1999,9,150,17,4.4,1.7,0,,0,9,17,22,2.56,4,2,+2,+1.20,+0.59,Matches,af433614
745,Rony,br BRA,FWMF,Atlético Mineiro,29,1995,35,2500,71,73.1,27.8,29,82,14,6,21,1,1.37,30,30,0,0.00,+0.10,Matches,bffd5e50
746,Vitor Roque,br BRA,FW,Palmeiras,19,2005,33,2117,64,61.9,23.5,24,78,7,9,27,0,2.03,48,15,+33,+1.40,+1.40,Matches,cb00f1e6
747,Diego Rosa,br BRA,MF,Internacional,22,2002,7,199,28,5.8,2.2,1,79,0,6,20,7,1.43,0,6,-6,-2.71,-2.52,Matches,c66a2173
748,Matheus Rossetto,br BRA,MF,Fortaleza,28,1996,20,924,46,27.0,10.3,10,69,1,10,23,15,1.30,9,20,-11,-1.07,-0.93,Matches,daf8c775
749,Agustín Rossi,ar ARG,GK,Flamengo,29,1995,37,3330,90,97.4,37.0,37,90,37,0,,0,2.11,75,24,+51,+1.38,+1.38,Matches,ef223e5f
750,Ruan,br BRA,DF,Atlético Mineiro,25,1999,11,811,74,23.7,9.0,7,86,5,4,53,4,1.18,10,13,-3,-0.33,-0.40,Matches,a378a02a
751,Ruan,br BRA,DF,São Paulo,25,1999,5,361,72,10.6,4.0,4,90,4,1,1,3,1.20,3,3,0,0.00,+0.12,Matches,a378a02a
752,Rubens,br BRA,MFDF,Atlético Mineiro,23,2001,13,1033,79,30.2,11.5,11,88,9,2,32,0,1.54,12,10,+2,+0.17,+0.29,Matches,ae23d044
753,Alan Ruschel,br BRA,DF,Juventude,35,1989,21,1230,59,36.0,13.7,14,83,9,7,10,14,0.76,9,26,-17,-1.24,-0.55,Matches,09aeb402
754,Rwan,br BRA,FW,Botafogo–RJ,23,2001,5,176,35,5.1,2.0,2,63,0,3,17,5,2.00,1,0,+1,+0.51,-0.02,Matches,568a75fd
755,José Sabino,br BRA,DF,São Paulo,28,1996,30,2299,77,67.2,25.5,25,88,24,5,19,7,1.57,34,26,+8,+0.31,+1.28,Matches,e1524457
756,Daniel Sales,br BRA,DF,Flamengo,18,2006,1,68,68,2.0,0.8,1,68,0,0,,5,1.00,3,3,0,0.00,-1.37,Matches,098f9d54
757,Rodrigo Sam,br BRA,DF,Juventude,29,1995,18,1457,81,42.6,16.2,16,90,16,2,9,2,0.78,14,31,-17,-1.05,-0.27,Matches,06c06e58
758,Mateo Sanabria,ar ARG,MF,Bahia,20,2004,10,569,57,16.6,6.3,7,73,0,3,20,0,1.00,9,8,+1,+0.16,+0.06,Matches,85d69267
759,Alex Sandro,br BRA,DF,Flamengo,34,1991,20,1544,77,45.1,17.2,19,79,15,1,45,5,2.35,36,11,+25,+1.46,+0.21,Matches,0d82903c
760,Agustín Sant'Anna,uy URU,DF,RB Bragantino,27,1997,11,523,48,15.3,5.8,6,71,2,5,20,5,1.55,5,7,-2,-0.34,-0.03,Matches,a680fc25
761,Alex Santana,br BRA,MF,Corinthians,29,1995,3,106,35,3.1,1.2,1,59,0,2,24,7,1.33,0,1,-1,-0.85,-0.74,Matches,e75dc411
762,Alex Santana,br BRA,MF,Grêmio,29,1995,8,389,49,11.4,4.3,4,70,2,4,28,7,0.88,3,8,-5,-1.16,-1.22,Matches,e75dc411
763,Ademir Santos,br BRA,FWMF,Bahia,29,1995,30,1971,66,57.6,21.9,26,72,5,4,24,0,1.77,28,18,+10,+0.46,+0.83,Matches,4b7d58c2
764,Danilo Santos,br BRA,MF,Botafogo–RJ,23,2001,13,827,64,24.2,9.2,10,74,4,3,29,0,1.69,23,7,+16,+1.74,+1.60,Matches,a816dbfb
765,Eduardo Santos,br BRA,DF,RB Bragantino,27,1997,8,319,40,9.3,3.5,2,90,2,6,23,11,1.88,2,3,-1,-0.28,+0.04,Matches,d226094c
766,Guilherme Santos,br BRA,DF,Fortaleza,18,2006,0,,,,,0,,0,0,,7,,,,,,,Matches,6ddf82e1
767,Júnior Santos,br BRA,FW,Atlético Mineiro,30,1994,16,361,23,10.6,4.0,1,67,0,15,20,2,1.25,9,7,+2,+0.50,+0.59,Matches,9109e933
768,Rodrigo Santos,br BRA,MF,Fortaleza,24,2000,8,225,28,6.6,2.5,2,54,0,6,20,4,1.13,1,6,-5,-2.00,-1.72,Matches,657810ed
769,Wesley Santos,br BRA,DF,Mirassol,20,2004,0,,,,,0,,0,0,,2,,,,,,,Matches,afcfc50e
770,Renzo Saravia,ar ARG,DFMF,Atlético Mineiro,31,1993,19,1065,56,31.1,11.8,12,78,7,7,19,11,1.26,20,15,+5,+0.42,+0.65,Matches,cf316639
771,Eduardo Sasha,br BRA,FWMF,RB Bragantino,32,1992,33,2246,68,65.7,25.0,30,72,7,3,33,0,1.24,32,32,0,0.00,+0.92,Matches,b938b871
772,Lucas Sasha,br BRA,MF,Fortaleza,34,1990,31,2612,84,76.4,29.0,31,84,24,0,,1,1.19,29,41,-12,-0.41,-0.08,Matches,2e2ec9cf
773,Jefferson Savarino,ve VEN,MF,Botafogo–RJ,28,1996,27,1917,71,56.1,21.3,24,77,9,3,26,1,1.52,26,21,+5,+0.23,-0.66,Matches,91721722
774,Kike Saverio,es ESP,MF,Vitória,25,1999,2,33,17,1.0,0.4,0,,0,2,17,6,0.50,0,0,0,0.00,+0.45,Matches,1af67930
775,Gustavo Scarpa,br BRA,MF,Atlético Mineiro,31,1994,36,2302,64,67.3,25.6,25,79,11,11,29,1,1.28,28,28,0,0.00,+0.08,Matches,2964fd20
776,João Scatolin,br BRA,MF,Juventude,16,2008,1,25,25,0.7,0.3,0,,0,1,25,8,0.00,1,1,0,0.00,+0.90,Matches,68818eca
777,João Schmidt,br BRA,MF,Santos,31,1993,31,2153,69,63.0,23.9,25,83,15,6,15,2,1.29,35,31,+4,+0.17,+0.81,Matches,3630db1a
778,Davi Schuindt,br BRA,DF,Fluminense,20,2004,2,180,90,5.3,2.0,2,90,2,0,,1,2.00,5,4,+1,+0.50,+0.22,Matches,394256c4
779,Cleiton Schwengber,br BRA,GK,RB Bragantino,27,1997,34,3060,90,89.5,34.0,34,90,34,0,,0,1.24,40,48,-8,-0.24,+0.76,Matches,d24ae824
780,Yuri Sena,br BRA,GK,Vitória,24,2001,0,,,,,0,,0,0,,8,,,,,,,Matches,bf1dcf73
781,Serafim,br BRA,DF,Botafogo–RJ,20,2004,0,,,,,0,,0,0,,4,,,,,,,Matches,eb92bf7b
782,Paulo Sérgio,br BRA,FW,São Paulo,19,2005,3,26,9,0.8,0.3,0,,0,3,9,4,1.00,1,2,-1,-3.46,-3.38,Matches,a99d316c
783,Kevin Serna,co COL,MF,Fluminense,27,1997,33,2086,63,61.0,23.2,25,74,7,8,31,2,1.73,33,24,+9,+0.39,+0.25,Matches,f3cc4a6e
784,Igor Serrote,br BRA,DF,Grêmio,19,2005,7,512,73,15.0,5.7,6,78,4,1,45,3,1.14,6,6,0,0.00,+0.09,Matches,9331bda6
785,Juan Sforza,ar ARG,MF,Juventude,22,2002,8,272,34,8.0,3.0,2,71,1,6,22,5,0.75,1,6,-5,-1.65,-0.83,Matches,ff112582
786,Juan Sforza,ar ARG,MF,Vasco da Gama,22,2002,2,71,36,2.1,0.8,1,66,0,1,5,8,0.00,1,2,-1,-1.27,-1.16,Matches,ff112582
787,Shaylon,br BRA,MF,Mirassol,27,1997,13,439,34,12.8,4.9,3,73,1,10,22,5,2.08,3,1,+2,+0.41,-0.25,Matches,69c11ef0
788,Ogundana Shola,ng NGA,FW,Flamengo,19,2005,0,,,,,0,,0,0,,2,,,,,,,Matches,147420c1
789,Sidney,br BRA,MF,Bahia,18,2006,0,,,,,0,,0,0,,3,,,,,,,Matches,f28ea184
790,Aderlan Silva,br BRA,DFMF,Sport Recife,34,1990,14,920,66,26.9,10.2,10,79,5,4,32,6,0.43,9,23,-14,-1.37,-0.18,Matches,48371573
791,Aderlan Silva,br BRA,DF,Santos,34,1990,2,87,44,2.5,1.0,1,64,0,1,23,2,0.50,1,1,0,0.00,+0.14,Matches,48371573
792,André Silva,br BRA,FW,São Paulo,27,1997,20,1357,68,39.7,15.1,15,80,6,5,32,0,1.60,16,14,+2,+0.13,+0.39,Matches,dde93e2c
793,Da Silva,br BRA,DF,Mirassol,23,2001,0,,,,,0,,0,0,,2,,,,,,,Matches,4772a037
794,Gabriel Silva,br BRA,MF,Ceará,20,2004,0,,,,,0,,0,0,,1,,,,,,,Matches,6dea4d45
795,Gustavo Silva,br BRA,MFFW,Vitória,27,1997,10,480,48,14.0,5.3,6,57,0,4,35,2,1.10,6,7,-1,-0.19,+0.30,Matches,c9ed46c4
796,João Silva,pt POR,DF,Sport Recife,26,1999,14,990,71,28.9,11.0,10,88,8,4,28,22,0.50,6,21,-15,-1.36,-0.18,Matches,3990d93a
797,Luan Silva,br BRA,MF,São Paulo,25,1999,6,173,29,5.1,1.9,2,61,0,4,13,6,2.17,2,3,-1,-0.52,-0.44,Matches,12a226cf
798,Lucas Silva,br BRA,MF,Cruzeiro,31,1993,34,2751,81,80.4,30.6,32,85,20,2,17,1,1.94,45,22,+23,+0.75,+0.62,Matches,1c646218
799,Matheus Pereira da Silva,br BRA,MF,Fortaleza,26,1998,19,1285,68,37.6,14.3,15,80,8,4,21,2,1.47,18,19,-1,-0.07,+0.52,Matches,bef22bc4
800,Patrick Silva,br BRA,MF,Atlético Mineiro,20,2004,3,224,75,6.5,2.5,2,90,1,1,45,10,1.67,1,0,+1,+0.40,+0.46,Matches,d6667807
801,Thiago Silva,br BRA,DF,Fluminense,40,1984,25,2157,86,63.1,24.0,24,89,22,1,30,0,1.80,28,20,+8,+0.33,+0.12,Matches,86e7deaf
802,Vinicius Silvestre,br BRA,GK,Fortaleza,30,1994,2,180,90,5.3,2.0,2,90,2,0,,9,0.50,1,6,-5,-2.50,-2.22,Matches,1944518a
803,Luis Sinisterra,co COL,MF,Cruzeiro,25,1999,11,326,30,9.5,3.6,2,74,0,9,20,1,1.91,8,5,+3,+0.83,+0.22,Matches,8e16dd48
804,Cédric Soares,pt POR,MFDF,São Paulo,33,1991,25,1889,76,55.2,21.0,22,83,12,3,24,8,1.32,22,26,-4,-0.19,-0.19,Matches,839c14e1
805,Everton Soares,br BRA,MF,Flamengo,28,1996,23,874,38,25.6,9.7,9,61,0,14,23,10,2.17,24,5,+19,+1.96,+0.83,Matches,b1cbc666
806,Tiquinho Soares,br BRA,FW,Santos,34,1991,27,1252,46,36.6,13.9,13,71,3,14,23,9,1.11,19,20,-1,-0.07,+0.09,Matches,4d982baf
807,Fernando Sobral,br BRA,MF,Ceará,30,1994,30,1504,50,44.0,16.7,17,73,3,13,21,2,1.17,15,18,-3,-0.18,-0.04,Matches,c012aacd
808,Ramón Sosa,py PAR,MFFW,Palmeiras,25,1999,23,876,38,25.6,9.7,6,67,1,17,28,2,2.04,18,8,+10,+1.03,+0.21,Matches,2d3417a1
809,Yeferson Soteldo,ve VEN,MF,Santos,27,1997,5,326,65,9.5,3.6,3,84,2,2,37,0,0.40,2,3,-1,-0.28,-0.16,Matches,bbb6c951
810,Yeferson Soteldo,ve VEN,MF,Fluminense,27,1997,17,496,29,14.5,5.5,3,69,0,14,21,6,1.12,11,11,0,0.00,-0.34,Matches,bbb6c951
811,Adriano Sousa,br BRA,GK,Sport Recife,21,2003,0,,,,,0,,0,0,,7,,,,,,,Matches,3d52824f
812,Souza,br BRA,DF,Santos,18,2006,24,1639,68,47.9,18.2,19,81,11,5,21,6,1.38,25,22,+3,+0.16,+0.57,Matches,10b0c6f4
813,Fabiano Souza,br BRA,DF,Ceará,24,2000,34,2907,86,85.0,32.3,34,86,25,0,,2,1.21,30,32,-2,-0.06,+0.64,Matches,f5e7fdf9
814,Gabriel Souza,br BRA,DF,Juventude,22,2002,0,,,,,0,,0,0,,3,,,,,,,Matches,8ccabede
815,Gabriel Souza,br BRA,MF,Vasco da Gama,20,2005,12,136,11,4.0,1.5,0,,0,12,11,5,1.00,3,5,-2,-1.32,-1.24,Matches,56a85c3b
816,Hugo Souza,br BRA,GK,Corinthians,26,1999,26,2340,90,68.4,26.0,26,90,26,0,,0,1.27,29,30,-1,-0.04,+0.29,Matches,c02e5af1
817,Igor Vinícius de Souza,br BRA,MFDF,São Paulo,27,1997,3,164,55,4.8,1.8,2,82,1,1,1,3,1.67,1,1,0,0.00,+0.11,Matches,ec95088d
818,Igor Vinícius de Souza,br BRA,DF,Santos,27,1997,20,1302,65,38.1,14.5,15,82,10,5,16,5,1.30,24,17,+7,+0.48,+0.99,Matches,ec95088d
819,Josef de Souza,br BRA,MF,Vasco da Gama,35,1989,0,,,,,0,,0,0,,3,,,,,,,Matches,fb6530de
820,Raul Steffens,br BRA,GK,Botafogo–RJ,27,1997,2,180,90,5.3,2.0,2,90,2,0,,21,2.00,6,4,+2,+1.00,+0.50,Matches,32e3faa6
821,Everaldo Stum,br BRA,FW,Fluminense,33,1991,28,1352,48,39.5,15.0,15,79,4,13,13,7,1.86,24,10,+14,+0.93,+1.06,Matches,0ac3d7d8
822,Bruno Tabata,br BRA,MFFW,Internacional,27,1997,24,1073,45,31.4,11.9,12,65,1,12,24,9,1.08,16,17,-1,-0.08,+0.38,Matches,33fdf90d
823,Gabriel Taliari,br BRA,FWMF,Juventude,27,1997,34,2296,68,67.1,25.5,28,76,8,6,29,0,1.00,25,42,-17,-0.67,+0.69,Matches,75a16442
824,Gonzalo Tapia,cl CHI,FW,São Paulo,22,2002,20,1117,56,32.7,12.4,12,77,4,8,25,3,1.60,16,20,-4,-0.32,-0.32,Matches,cdbd6b8a
825,Tchê Tchê,br BRA,MF,Vasco da Gama,32,1992,29,2000,69,58.5,22.2,24,79,9,5,22,0,1.03,29,34,-5,-0.23,-0.23,Matches,5f2caf8f
826,Alex Teixeira,br BRA,FWMF,Vasco da Gama,35,1990,9,118,13,3.5,1.3,0,,0,9,13,11,0.78,2,4,-2,-1.53,-1.44,Matches,ae530c73
827,Alex Telles,br BRA,DF,Botafogo–RJ,32,1992,27,1690,63,49.4,18.8,22,72,6,5,22,4,1.70,29,15,+14,+0.75,+0.43,Matches,e73c9bb2
828,Douglas Telles,br BRA,MF,Flamengo,17,2007,2,84,42,2.5,0.9,1,72,0,1,12,1,2.00,4,3,+1,+1.07,-0.28,Matches,2303801d
829,Thaciano,br BRA,MFFW,Santos,29,1995,19,614,32,18.0,6.8,5,73,2,14,18,12,1.16,10,12,-2,-0.29,-0.20,Matches,139113e4
830,Thalys,br BRA,FW,Palmeiras,19,2005,2,88,44,2.6,1.0,1,63,0,1,25,12,2.00,2,1,+1,+1.02,+0.16,Matches,b6b3abf3
831,Thiago,br BRA,GK,Sport Recife,25,1999,0,,,,,0,,0,0,,11,,,,,,,Matches,602d20ae
832,Thiago,br BRA,GK,Vitória,25,1999,9,785,87,23.0,8.7,8,90,8,1,65,16,1.56,8,9,-1,-0.11,+0.43,Matches,602d20ae
833,Thiaguinho,br BRA,MF,Vitória,27,1997,0,,,,,0,,0,0,,2,,,,,,,Matches,ad967d57
834,Thomazella,br BRA,GK,Mirassol,34,1990,0,,,,,0,,0,0,,13,,,,,,,Matches,af976211
835,Rafael Thyere,br BRA,DF,Sport Recife,31,1993,24,2106,88,61.6,23.4,24,88,22,0,,3,0.58,21,48,-27,-1.15,+0.22,Matches,e2a29d9d
836,Tiago,br BRA,MF,Grêmio,16,2008,0,,,,,0,,0,0,,1,,,,,,,Matches,aa98440f
837,Tiago,br BRA,FW,Bahia,19,2005,25,902,36,26.4,10.0,5,65,1,20,29,10,1.60,18,12,+6,+0.60,+0.67,Matches,77ee5b27
838,Guilherme Tinga,br BRA,DF,Fortaleza,31,1993,11,752,68,22.0,8.4,8,86,7,3,20,16,1.09,12,16,-4,-0.48,-0.11,Matches,a8331ab0
839,Titi,br BRA,DF,Fortaleza,36,1988,3,269,90,7.9,3.0,3,90,2,0,,7,1.67,3,1,+2,+0.67,+1.15,Matches,ea41ddf7
840,Kauan Toledo,br BRA,FW,Botafogo–RJ,18,2006,2,7,4,0.2,0.1,0,,0,2,4,1,2.00,2,0,+2,+25.71,+25.24,Matches,2cc7bb98
841,Rafael Tolói,it ITA,DF,São Paulo,34,1990,7,499,71,14.6,5.5,6,76,4,1,45,3,0.86,5,6,-1,-0.18,-0.09,Matches,c56dc39e
842,Félix Torres Caicedo,ec ECU,DF,Corinthians,28,1997,10,647,65,18.9,7.2,8,79,6,2,9,23,1.50,9,10,-1,-0.14,-0.01,Matches,c0a8860f
843,Facundo Torres,uy URU,MFFW,Palmeiras,24,2000,29,1665,57,48.7,18.5,20,73,5,9,22,6,2.07,31,14,+17,+0.92,+0.10,Matches,4de3b2c0
844,Bruno Tubarão,br BRA,DFMF,Ceará,29,1995,7,100,14,2.9,1.1,0,,0,7,14,5,1.00,0,1,-1,-0.90,-0.76,Matches,5411ef4f
845,Vagno,br BRA,MF,Fluminense,17,2007,0,,,,,0,,0,0,,3,,,,,,,Matches,7a64a82b
846,Enner Valencia,ec ECU,FW,Internacional,35,1989,14,628,45,18.4,7.0,7,68,1,7,22,1,1.50,8,10,-2,-0.29,+0.07,Matches,fb485406
847,Vanderlan,br BRA,DFMF,Palmeiras,22,2002,3,198,66,5.8,2.2,3,66,1,0,,13,2.33,3,3,0,0.00,-0.92,Matches,bd8432ff
848,Vanderlan,br BRA,DF,RB Bragantino,22,2002,14,1055,75,30.8,11.7,12,86,9,2,11,1,1.20,18,21,-3,-0.26,+0.09,Matches,bd8432ff
849,Guillermo Varela,uy URU,DF,Flamengo,31,1993,20,1325,66,38.7,14.7,14,88,12,6,16,15,2.20,31,7,+24,+1.63,+0.47,Matches,5c961282
850,Pablo Vegetti,ar ARG,FW,Vasco da Gama,36,1988,35,2335,67,68.3,25.9,27,80,15,8,21,1,1.11,33,44,-11,-0.42,-0.92,Matches,06cc28cd
851,Raphael Veiga,br BRA,MF,Palmeiras,29,1995,25,1067,43,31.2,11.9,13,63,1,12,20,3,1.92,21,12,+9,+0.76,-0.16,Matches,6e5a3bc7
852,Yago Veloso,br BRA,DF,Flamengo,17,2007,0,,,,,0,,0,0,,1,,,,,,,Matches,86ac4884
853,Fausto Vera,ar ARG,MF,Atlético Mineiro,24,2000,18,1127,63,33.0,12.5,15,70,6,3,25,14,1.22,9,15,-6,-0.48,-0.68,Matches,8b3b381b
854,Breno Vereza,br BRA,DF,Vasco da Gama,17,2007,0,,,,,0,,0,0,,1,,,,,,,Matches,b77a8393
855,Gabriel Veron,br BRA,MF,Santos,22,2002,6,122,20,3.6,1.4,1,67,0,5,11,1,0.33,0,3,-3,-2.21,-2.16,Matches,6bc49da7
856,Gabriel Veron,br BRA,FWMF,Juventude,22,2002,13,639,49,18.7,7.1,7,58,0,6,39,1,1.00,2,13,-11,-1.55,-0.80,Matches,6bc49da7
857,João Victor,br BRA,DF,Vasco da Gama,26,1998,16,1435,90,42.0,15.9,16,90,15,0,,0,0.94,18,23,-5,-0.31,-0.31,Matches,d60cf08d
858,João Victor,br BRA,DF,Mirassol,27,1997,34,3059,90,89.4,34.0,34,90,33,0,,0,1.74,56,37,+19,+0.56,-0.69,Matches,d6d0c8bb
859,João Victor,br BRA,FW,Ceará,20,2004,1,6,6,0.2,0.1,0,,0,1,6,0,0.00,0,0,0,0.00,+0.16,Matches,e78d763e
860,João Victor,br BRA,DF,Flamengo,18,2007,4,194,49,5.7,2.2,3,60,1,1,14,20,1.75,4,6,-2,-0.93,-2.41,Matches,0eaa0f26
861,Marcos Victor,br BRA,DF,Ceará,23,2001,15,1343,90,39.3,14.9,15,90,14,0,,12,1.40,16,16,0,0.00,+0.26,Matches,d714fc5a
862,Lucas Vieira,br BRA,MF,Flamengo,17,2007,1,22,22,0.6,0.2,0,,0,1,22,0,1.00,0,0,0,0.00,-1.35,Matches,534f5cca
863,Viery,br BRA,DF,Grêmio,20,2005,3,50,17,1.5,0.6,0,,0,3,17,18,2.00,1,2,-1,-1.80,-1.75,Matches,73bec74e
864,Lucas Villalba,ar ARG,DF,Cruzeiro,30,1994,32,2864,90,83.7,31.8,32,90,31,0,,2,1.91,48,20,+28,+0.88,+1.53,Matches,2dc5144f
865,Mathías Villasanti,py PAR,MF,Grêmio,28,1997,16,1150,72,33.6,12.8,14,78,8,2,26,0,1.19,14,20,-6,-0.47,-0.59,Matches,05b642f7
866,Matías Viña,uy URU,DF,Flamengo,27,1997,8,281,35,8.2,3.1,2,66,0,6,25,10,2.75,10,2,+8,+2.56,+1.33,Matches,08eb3b58
867,Vinícius,br BRA,MF,Ceará,33,1991,16,567,35,16.6,6.3,5,62,1,11,23,0,0.88,6,7,-1,-0.16,0.00,Matches,ee01c84d
868,Alix Vinicius,br BRA,DF,RB Bragantino,25,1999,11,862,78,25.2,9.6,9,89,8,2,32,5,1.18,11,14,-3,-0.31,0.00,Matches,2083298b
869,Carlos Vinícius,br BRA,FW,Grêmio,29,1995,14,942,67,27.5,10.5,12,74,3,2,26,0,1.64,19,14,+5,+0.48,+0.77,Matches,8b529245
870,Heittor Vinicius,br BRA,FW,Palmeiras,17,2007,0,,,,,0,,0,0,,1,,,,,,,Matches,1f6e2909
871,Vitão,br BRA,DF,Internacional,24,2000,31,2719,88,79.5,30.2,31,88,29,0,,1,1.26,37,43,-6,-0.20,+0.70,Matches,d4f034db
872,Vitão,br BRA,DF,Atlético Mineiro,16,2008,0,,,,,0,,0,0,,2,,,,,,,Matches,971e8602
873,Vitinho,br BRA,MF,Bahia,20,2004,0,,,,,0,,0,0,,12,,,,,,,Matches,8fe7df30
874,Vitinho,br BRA,FW,Corinthians,31,1993,12,479,40,14.0,5.3,4,73,1,8,23,1,1.25,8,8,0,0.00,+0.15,Matches,a9e68c94
875,Vitinho,br BRA,DF,Botafogo–RJ,25,1999,36,2831,79,82.8,31.5,34,82,19,2,14,0,1.72,45,31,+14,+0.45,-0.47,Matches,9295dc1c
