,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
549,Tomas Pochettino,ar ARG,MFFW,Fortaleza,28,1996,17.1,3,43,16,37.2,2.52,0.94,0.07,0.19,0,0,Matches,fb36aa6b
550,Mateo Ponte,uy URU,DF,Botafogo–RJ,21,2003,7.5,2,9,2,22.2,1.20,0.27,0.22,1.00,0,0,Matches,981e61c1
551,Gustavo Prado,br BRA,MF,Internacional,19,2005,6.2,1,25,10,40.0,4.03,1.61,0.04,0.10,0,0,Matches,511bad81
552,Kauã Prates,br BRA,DF,Cruzeiro,16,2008,3.8,0,0,0,,0.00,0.00,,,0,0,Matches,6ecfd382
553,Bruno Praxedes,br BRA,MF,RB Bragantino,22,2002,4.4,0,12,2,16.7,2.70,0.45,0.00,0.00,0,0,Matches,5dd520a8
554,Lucca Prior,br BRA,MFFW,Fortaleza,20,2004,7.3,2,12,4,33.3,1.65,0.55,0.17,0.50,0,0,Matches,dbeca92a
555,Erick Pulga,br BRA,FWMF,Bahia,24,2000,18.7,3,51,18,35.3,2.72,0.96,0.06,0.17,0,0,Matches,56088230
556,Erick Pulgar,cl CHI,MF,Flamengo,31,1994,13.8,1,7,4,57.1,0.51,0.29,0.14,0.25,0,0,Matches,4611e028
557,Du Queiroz,br BRA,MF,Sport Recife,25,2000,6.8,0,6,1,16.7,0.88,0.15,0.00,0.00,0,0,Matches,8440b0cb
558,Igor Rabello,br BRA,DF,Fluminense,29,1995,1.6,0,0,0,,0.00,0.00,,,0,0,Matches,48048864
559,Igor Rabello,br BRA,DF,Atlético Mineiro,29,1995,2.1,0,3,0,0.0,1.43,0.00,0.00,,0,0,Matches,48048864
560,Zé Rafael,br BRA,MF,Santos,31,1993,20.6,1,28,4,14.3,1.36,0.19,0.04,0.25,0,0,Matches,634b1413
561,Rafinha,br BRA,DF,Sport Recife,18,2006,0.5,0,0,0,,0.00,0.00,,,0,0,Matches,90c2b7c0
562,André Ramalho,br BRA,DF,Corinthians,32,1992,19.8,0,13,3,23.1,0.66,0.15,0.00,0.00,0,0,Matches,7483d9f9
563,Eric Ramires,br BRA,MF,RB Bragantino,24,2000,19.8,2,21,6,28.6,1.06,0.30,0.10,0.33,0,0,Matches,37faa4cb
564,Ramon,br BRA,DF,Internacional,23,2001,3.7,0,4,1,25.0,1.09,0.27,0.00,0.00,0,0,Matches,fdf88bc0
565,Ramon,br BRA,DFMF,Vitória,23,2001,18.0,0,10,0,0.0,0.56,0.00,0.00,,0,0,Matches,fdf88bc0
566,Lucas Ramon,br BRA,DF,Mirassol,30,1994,28.9,2,29,11,37.9,1.00,0.38,0.07,0.18,0,0,Matches,58933a04
567,Chris Ramos,es ESP,FW,Botafogo–RJ,28,1997,8.0,4,22,10,45.5,2.76,1.25,0.18,0.40,0,0,Matches,44e07fac
568,Santi Ramos Mingo,ar ARG,DF,Bahia,23,2001,32.5,0,17,4,23.5,0.52,0.12,0.00,0.00,0,0,Matches,fe0a346d
569,Rafael Ramos,pt POR,DFMF,Ceará,30,1995,10.0,0,6,1,16.7,0.60,0.10,0.00,0.00,0,0,Matches,f8ddf51c
570,Raniele,br BRA,MFDF,Corinthians,28,1996,22.4,2,19,7,36.8,0.85,0.31,0.11,0.29,0,0,Matches,a025365f
571,Wellington Rato,br BRA,FWMF,Vitória,32,1992,2.4,1,5,3,60.0,2.12,1.27,0.20,0.33,0,0,Matches,598917cf
572,Pedro Raul,br BRA,FW,Ceará,28,1996,32.2,11,90,36,40.0,2.80,1.12,0.12,0.31,1,1,Matches,ed074559
573,Rayan,br BRA,MFFW,Vasco da Gama,18,2006,31.5,14,92,39,42.4,2.92,1.24,0.15,0.36,2,2,Matches,288647fc
574,Raykkonen,br BRA,FW,Internacional,16,2008,1.4,0,2,1,50.0,1.45,0.73,0.00,0.00,0,0,Matches,3114f93a
575,Reginaldo,br BRA,DF,Juventude,31,1993,13.0,0,4,1,25.0,0.31,0.08,0.00,0.00,0,0,Matches,b018b2b6
576,Reinaldo,br BRA,DF,Mirassol,35,1989,32.1,13,61,29,47.5,1.90,0.90,0.21,0.45,6,7,Matches,ab3edc87
577,Reinier,br BRA,FWMF,Atlético Mineiro,23,2002,3.7,0,8,1,12.5,2.16,0.27,0.00,0.00,0,0,Matches,6b21b7b5
578,Robert Renan,br BRA,DF,Vasco da Gama,21,2003,14.3,0,6,1,16.7,0.42,0.07,0.00,0.00,0,0,Matches,168a2e81
579,Cristian Renato,br BRA,FW,Mirassol,24,2000,15.0,5,44,19,43.2,2.93,1.27,0.11,0.26,0,0,Matches,349504e0
580,Renê,br BRA,DF,Fluminense,32,1992,26.2,2,12,2,16.7,0.46,0.08,0.17,1.00,0,0,Matches,d000ffc7
581,Rezende,br BRA,MFDF,Bahia,30,1995,6.4,0,1,0,0.0,0.16,0.00,0.00,,0,0,Matches,dfddb0f9
582,Murilo Rhikman,br BRA,MF,Cruzeiro,18,2006,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,9e91b234
583,Everton Ribeiro,br BRA,MF,Bahia,35,1989,21.4,2,27,6,22.2,1.26,0.28,0.07,0.33,1,1,Matches,68fb50a2
584,Ricardo,br BRA,MF,Vitória,30,1994,9.8,0,7,4,57.1,0.71,0.41,0.00,0.00,0,0,Matches,2a5cdcd1
585,João Ricardo Riedi,br BRA,GK,Fortaleza,36,1988,14.0,0,0,0,,0.00,0.00,,,0,0,Matches,4729d71a
586,Richard,br BRA,MF,Internacional,30,1994,3.1,0,1,0,0.0,0.33,0.00,0.00,,0,0,Matches,e90aa5da
587,Richardson,br BRA,MF,Ceará,33,1991,8.8,0,3,2,66.7,0.34,0.23,0.00,0.00,0,0,Matches,ef6b8a6b
588,Charles Rigon Matos,br BRA,MFDF,Corinthians,28,1996,6.3,1,3,2,66.7,0.47,0.32,0.33,0.50,0,0,Matches,6ff91a3a
589,Emiliano Rigoni,ar ARG,FW,São Paulo,31,1993,3.3,1,10,3,30.0,3.06,0.92,0.10,0.33,0,0,Matches,a1216563
590,Tomás Rincón,ve VEN,MF,Santos,37,1988,10.2,0,6,0,0.0,0.59,0.00,0.00,,0,0,Matches,f1cfc209
591,Richard Ríos,co COL,MF,Palmeiras,24,2000,8.1,0,12,2,16.7,1.47,0.25,0.00,0.00,0,0,Matches,72da065d
592,Riquelme,br BRA,MF,Sport Recife,18,2007,0.3,0,1,0,0.0,3.91,0.00,0.00,,0,0,Matches,1c1828c3
593,Riquelme,br BRA,MF,Fluminense,17,2007,1.1,0,3,1,33.3,2.73,0.91,0.00,0.00,0,0,Matches,ce31d798
594,Christian Rivera,co COL,MF,Sport Recife,29,1996,30.3,0,8,1,12.5,0.26,0.03,0.00,0.00,0,0,Matches,7c094b1a
595,Pablo Roberto,br BRA,MF,Fortaleza,25,1999,1.3,0,2,0,0.0,1.55,0.00,0.00,,0,0,Matches,880d2226
596,Paulo Roberto,br BRA,DF,Vitória,19,2005,1.1,0,0,0,,0.00,0.00,,,0,0,Matches,a5898315
597,Marcos Rocha,br BRA,DF,Palmeiras,36,1988,1.0,0,1,1,100.0,1.00,1.00,0.00,0.00,0,0,Matches,fdd2f275
598,Marcos Rocha,br BRA,DF,Grêmio,36,1988,10.7,0,6,1,16.7,0.56,0.09,0.00,0.00,0,0,Matches,fdd2f275
599,Sergio Rochet,uy URU,GK,Internacional,31,1993,14.5,0,0,0,,0.00,0.00,,,0,0,Matches,81b99b9e
600,Rodrigo,br BRA,MF,São Paulo,20,2004,8.0,0,22,5,22.7,2.73,0.62,0.00,0.00,0,0,Matches,1126f4e2
601,Alisson Rodrigues,br BRA,DF,Internacional,16,2008,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,8434bef6
602,Ruben Rodrigues,pt POR,FWMF,Vitória,28,1996,0.3,0,1,0,0.0,3.46,0.00,0.00,,0,0,Matches,b4c136b7
603,Alan Rodríguez,uy URU,MF,Internacional,25,2000,10.5,0,11,3,27.3,1.05,0.29,0.00,0.00,0,0,Matches,fcd24b4b
604,Guzmán Rodríguez,uy URU,DF,RB Bragantino,24,2000,22.8,1,13,3,23.1,0.57,0.13,0.08,0.33,0,0,Matches,33f2fd18
605,Luciano Rodríguez,uy URU,FW,Bahia,21,2003,8.8,2,29,11,37.9,3.30,1.25,0.07,0.18,0,0,Matches,8ccc9220
606,Santiago Rodríguez,uy URU,MF,Botafogo–RJ,25,2000,14.8,2,28,10,35.7,1.90,0.68,0.07,0.20,0,0,Matches,86dff811
607,Rodriguinho,br BRA,MF,Cruzeiro,21,2003,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,4565dde3
608,Rodriguinho,br BRA,MF,Ceará,21,2003,0.4,0,2,0,0.0,5.45,0.00,0.00,,0,0,Matches,4565dde3
609,Agustín Rogel,uy URU,DF,Internacional,27,1997,5.0,0,1,0,0.0,0.20,0.00,0.00,,0,0,Matches,ea42c03f
610,Benjamín Rollheiser,ar ARG,MFFW,Santos,24,2000,24.6,2,51,17,33.3,2.08,0.69,0.04,0.12,1,1,Matches,e8c4a824
611,Iván Román,cl CHI,DF,Atlético Mineiro,18,2006,7.8,0,5,0,0.0,0.64,0.00,0.00,,0,0,Matches,8ee6a7c1
612,Romarinho,br BRA,MF,Vitória,34,1990,1.4,0,3,1,33.3,2.18,0.73,0.00,0.00,0,0,Matches,d73461ea
613,Romarinho,br BRA,MFFW,Sport Recife,30,1994,10.1,2,20,4,20.0,1.97,0.39,0.10,0.50,0,0,Matches,1e7d2cc0
614,Ángel Romero,py PAR,FWMF,Corinthians,32,1992,11.9,0,21,5,23.8,1.77,0.42,0.00,0.00,0,0,Matches,36edfb9b
615,Lucas Romero,ar ARG,MF,Cruzeiro,30,1994,31.5,1,19,4,21.1,0.60,0.13,0.05,0.25,0,0,Matches,d89e48b8
616,Óscar Romero,py PAR,MF,Internacional,32,1992,5.6,0,7,1,14.3,1.25,0.18,0.00,0.00,0,0,Matches,4bc5f2b4
617,Romulo,br BRA,MF,Ceará,23,2001,1.5,0,3,3,100.0,2.03,2.03,0.00,0.00,0,0,Matches,58a061ba
618,Rômulo,br BRA,DF,Atlético Mineiro,21,2004,2.3,0,0,0,,0.00,0.00,,,0,0,Matches,a5dedc6e
619,Ronald,br BRA,MF,Vitória,27,1997,20.8,0,15,7,46.7,0.72,0.34,0.00,0.00,0,0,Matches,cc119c66
620,Ronald,br BRA,DF,Grêmio,21,2003,2.6,0,0,0,,0.00,0.00,,,0,0,Matches,5334ff3f
621,Ronaldo,br BRA,GK,Bahia,28,1996,27.2,0,0,0,,0.00,0.00,,,0,0,Matches,711c08dc
622,Ronaldo,br BRA,MF,Internacional,28,1996,8.6,0,8,2,25.0,0.93,0.23,0.00,0.00,0,0,Matches,8a3b002a
623,Budiga Roni,br BRA,MF,Mirassol,25,1999,1.7,0,1,0,0.0,0.60,0.00,0.00,,0,0,Matches,af433614
624,Rony,br BRA,FWMF,Atlético Mineiro,29,1995,27.8,6,78,33,42.3,2.81,1.19,0.08,0.18,0,0,Matches,bffd5e50
625,Vitor Roque,br BRA,FW,Palmeiras,19,2005,23.5,16,78,40,51.3,3.32,1.70,0.21,0.40,1,1,Matches,cb00f1e6
626,Diego Rosa,br BRA,MF,Internacional,22,2002,2.2,0,1,0,0.0,0.45,0.00,0.00,,0,0,Matches,c66a2173
627,Matheus Rossetto,br BRA,MF,Fortaleza,28,1996,10.3,0,2,0,0.0,0.19,0.00,0.00,,0,0,Matches,daf8c775
628,Agustín Rossi,ar ARG,GK,Flamengo,29,1995,37.0,0,0,0,,0.00,0.00,,,0,0,Matches,ef223e5f
629,Ruan,br BRA,DF,Atlético Mineiro,25,1999,9.0,1,4,2,50.0,0.44,0.22,0.25,0.50,0,0,Matches,a378a02a
630,Ruan,br BRA,DF,São Paulo,25,1999,4.0,0,0,0,,0.00,0.00,,,0,0,Matches,a378a02a
631,Rubens,br BRA,MFDF,Atlético Mineiro,23,2001,11.5,1,16,5,31.3,1.39,0.44,0.06,0.20,0,0,Matches,ae23d044
632,Alan Ruschel,br BRA,DF,Juventude,35,1989,13.7,0,2,1,50.0,0.15,0.07,0.00,0.00,0,0,Matches,09aeb402
633,Rwan,br BRA,FW,Botafogo–RJ,23,2001,2.0,0,3,0,0.0,1.53,0.00,0.00,,0,0,Matches,568a75fd
634,José Sabino,br BRA,DF,São Paulo,28,1996,25.5,2,18,8,44.4,0.70,0.31,0.11,0.25,0,0,Matches,e1524457
635,Daniel Sales,br BRA,DF,Flamengo,18,2006,0.8,0,1,0,0.0,1.32,0.00,0.00,,0,0,Matches,098f9d54
636,Rodrigo Sam,br BRA,DF,Juventude,29,1995,16.2,1,9,4,44.4,0.56,0.25,0.11,0.25,0,0,Matches,06c06e58
637,Mateo Sanabria,ar ARG,MF,Bahia,20,2004,6.3,1,10,3,30.0,1.58,0.47,0.10,0.33,0,0,Matches,85d69267
638,Alex Sandro,br BRA,DF,Flamengo,34,1991,17.2,0,8,2,25.0,0.47,0.12,0.00,0.00,0,0,Matches,0d82903c
639,Agustín Sant'Anna,uy URU,DF,RB Bragantino,27,1997,5.8,0,13,1,7.7,2.24,0.17,0.00,0.00,0,0,Matches,a680fc25
640,Alex Santana,br BRA,MF,Corinthians,29,1995,1.2,0,1,0,0.0,0.85,0.00,0.00,,0,0,Matches,e75dc411
641,Alex Santana,br BRA,MF,Grêmio,29,1995,4.3,0,6,0,0.0,1.39,0.00,0.00,,0,0,Matches,e75dc411
642,Ademir Santos,br BRA,FWMF,Bahia,29,1995,21.9,2,53,17,32.1,2.42,0.78,0.04,0.12,0,0,Matches,4b7d58c2
643,Danilo Santos,br BRA,MF,Botafogo–RJ,23,2001,9.2,1,14,4,28.6,1.52,0.44,0.07,0.25,0,0,Matches,a816dbfb
644,Eduardo Santos,br BRA,DF,RB Bragantino,27,1997,3.5,0,0,0,,0.00,0.00,,,0,0,Matches,d226094c
645,Júnior Santos,br BRA,FW,Atlético Mineiro,30,1994,4.0,2,10,4,40.0,2.49,1.00,0.20,0.50,0,0,Matches,9109e933
646,Rodrigo Santos,br BRA,MF,Fortaleza,24,2000,2.5,0,3,1,33.3,1.20,0.40,0.00,0.00,0,0,Matches,657810ed
647,Renzo Saravia,ar ARG,DFMF,Atlético Mineiro,31,1993,11.8,0,7,1,14.3,0.59,0.08,0.00,0.00,0,0,Matches,cf316639
648,Eduardo Sasha,br BRA,FWMF,RB Bragantino,32,1992,25.0,8,58,31,53.4,2.32,1.24,0.14,0.26,3,3,Matches,b938b871
649,Lucas Sasha,br BRA,MF,Fortaleza,34,1990,29.0,1,17,7,41.2,0.59,0.24,0.06,0.14,0,0,Matches,2e2ec9cf
650,Jefferson Savarino,ve VEN,MF,Botafogo–RJ,28,1996,21.3,4,54,18,33.3,2.54,0.85,0.07,0.22,0,0,Matches,91721722
651,Kike Saverio,es ESP,MF,Vitória,25,1999,0.4,0,0,0,,0.00,0.00,,,0,0,Matches,1af67930
652,Gustavo Scarpa,br BRA,MF,Atlético Mineiro,31,1994,25.6,1,58,14,24.1,2.27,0.55,0.02,0.07,0,0,Matches,2964fd20
653,João Scatolin,br BRA,MF,Juventude,16,2008,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,68818eca
654,João Schmidt,br BRA,MF,Santos,31,1993,23.9,2,18,4,22.2,0.75,0.17,0.11,0.50,0,0,Matches,3630db1a
655,Davi Schuindt,br BRA,DF,Fluminense,20,2004,2.0,0,1,1,100.0,0.50,0.50,0.00,0.00,0,0,Matches,394256c4
656,Cleiton Schwengber,br BRA,GK,RB Bragantino,27,1997,34.0,0,0,0,,0.00,0.00,,,0,0,Matches,d24ae824
657,Paulo Sérgio,br BRA,FW,São Paulo,19,2005,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,a99d316c
658,Kevin Serna,co COL,MF,Fluminense,27,1997,23.2,7,43,21,48.8,1.86,0.91,0.16,0.33,0,0,Matches,f3cc4a6e
659,Igor Serrote,br BRA,DF,Grêmio,19,2005,5.7,0,4,0,0.0,0.70,0.00,0.00,,0,0,Matches,9331bda6
660,Juan Sforza,ar ARG,MF,Juventude,22,2002,3.0,0,1,0,0.0,0.33,0.00,0.00,,0,0,Matches,ff112582
661,Juan Sforza,ar ARG,MF,Vasco da Gama,22,2002,0.8,0,0,0,,0.00,0.00,,,0,0,Matches,ff112582
662,Shaylon,br BRA,MF,Mirassol,27,1997,4.9,0,9,2,22.2,1.85,0.41,0.00,0.00,0,0,Matches,69c11ef0
663,Aderlan Silva,br BRA,DFMF,Sport Recife,34,1990,10.2,0,3,0,0.0,0.29,0.00,0.00,,0,0,Matches,48371573
664,Aderlan Silva,br BRA,DF,Santos,34,1990,1.0,0,1,0,0.0,1.03,0.00,0.00,,0,0,Matches,48371573
665,André Silva,br BRA,FW,São Paulo,27,1997,15.1,5,38,9,23.7,2.52,0.60,0.13,0.56,1,1,Matches,dde93e2c
666,Gustavo Silva,br BRA,MFFW,Vitória,27,1997,5.3,0,8,4,50.0,1.50,0.75,0.00,0.00,0,0,Matches,c9ed46c4
667,João Silva,pt POR,DF,Sport Recife,26,1999,11.0,0,4,1,25.0,0.36,0.09,0.00,0.00,0,0,Matches,3990d93a
668,Luan Silva,br BRA,MF,São Paulo,25,1999,1.9,0,2,1,50.0,1.04,0.52,0.00,0.00,0,0,Matches,12a226cf
669,Lucas Silva,br BRA,MF,Cruzeiro,31,1993,30.6,2,25,5,20.0,0.82,0.16,0.08,0.40,0,0,Matches,1c646218
670,Matheus Pereira da Silva,br BRA,MF,Fortaleza,26,1998,14.3,1,13,4,30.8,0.91,0.28,0.08,0.25,0,0,Matches,bef22bc4
671,Patrick Silva,br BRA,MF,Atlético Mineiro,20,2004,2.5,0,1,1,100.0,0.40,0.40,0.00,0.00,0,0,Matches,d6667807
672,Thiago Silva,br BRA,DF,Fluminense,40,1984,24.0,2,14,5,35.7,0.58,0.21,0.14,0.40,0,0,Matches,86e7deaf
673,Vinicius Silvestre,br BRA,GK,Fortaleza,30,1994,2.0,0,0,0,,0.00,0.00,,,0,0,Matches,1944518a
674,Luis Sinisterra,co COL,MF,Cruzeiro,25,1999,3.6,2,8,5,62.5,2.21,1.38,0.25,0.40,0,0,Matches,8e16dd48
675,Cédric Soares,pt POR,MFDF,São Paulo,33,1991,21.0,0,5,0,0.0,0.24,0.00,0.00,,0,0,Matches,839c14e1
676,Everton Soares,br BRA,MF,Flamengo,28,1996,9.7,1,30,7,23.3,3.09,0.72,0.03,0.14,0,0,Matches,b1cbc666
677,Tiquinho Soares,br BRA,FW,Santos,34,1991,13.9,2,31,8,25.8,2.23,0.58,0.06,0.25,2,2,Matches,4d982baf
678,Fernando Sobral,br BRA,MF,Ceará,30,1994,16.7,1,14,2,14.3,0.84,0.12,0.07,0.50,0,0,Matches,c012aacd
679,Ramón Sosa,py PAR,MFFW,Palmeiras,25,1999,9.7,3,30,7,23.3,3.08,0.72,0.10,0.43,0,0,Matches,2d3417a1
680,Yeferson Soteldo,ve VEN,MF,Santos,27,1997,3.6,0,6,1,16.7,1.66,0.28,0.00,0.00,0,0,Matches,bbb6c951
681,Yeferson Soteldo,ve VEN,MF,Fluminense,27,1997,5.5,2,5,2,40.0,0.91,0.36,0.40,1.00,0,0,Matches,bbb6c951
682,Souza,br BRA,DF,Santos,18,2006,18.2,1,19,6,31.6,1.04,0.33,0.05,0.17,0,0,Matches,10b0c6f4
683,Fabiano Souza,br BRA,DF,Ceará,24,2000,32.3,0,13,2,15.4,0.40,0.06,0.00,0.00,0,0,Matches,f5e7fdf9
684,Gabriel Souza,br BRA,MF,Vasco da Gama,20,2005,1.5,2,3,2,66.7,1.99,1.32,0.67,1.00,0,0,Matches,56a85c3b
685,Hugo Souza,br BRA,GK,Corinthians,26,1999,26.0,0,0,0,,0.00,0.00,,,0,0,Matches,c02e5af1
686,Igor Vinícius de Souza,br BRA,MFDF,São Paulo,27,1997,1.8,0,3,1,33.3,1.65,0.55,0.00,0.00,0,0,Matches,ec95088d
687,Igor Vinícius de Souza,br BRA,DF,Santos,27,1997,14.5,0,6,2,33.3,0.41,0.14,0.00,0.00,0,0,Matches,ec95088d
688,Raul Steffens,br BRA,GK,Botafogo–RJ,27,1997,2.0,0,0,0,,0.00,0.00,,,0,0,Matches,32e3faa6
689,Everaldo Stum,br BRA,FW,Fluminense,33,1991,15.0,2,39,11,28.2,2.60,0.73,0.05,0.18,0,1,Matches,0ac3d7d8
690,Bruno Tabata,br BRA,MFFW,Internacional,27,1997,11.9,3,36,13,36.1,3.02,1.09,0.08,0.23,1,1,Matches,33fdf90d
691,Gabriel Taliari,br BRA,FWMF,Juventude,27,1997,25.5,8,61,19,31.1,2.39,0.74,0.13,0.42,0,0,Matches,75a16442
692,Gonzalo Tapia,cl CHI,FW,São Paulo,22,2002,12.4,5,32,15,46.9,2.58,1.21,0.16,0.33,0,0,Matches,cdbd6b8a
693,Tchê Tchê,br BRA,MF,Vasco da Gama,32,1992,22.2,1,17,4,23.5,0.77,0.18,0.06,0.25,0,0,Matches,5f2caf8f
694,Alex Teixeira,br BRA,FWMF,Vasco da Gama,35,1990,1.3,0,4,2,50.0,3.05,1.53,0.00,0.00,0,0,Matches,ae530c73
695,Alex Telles,br BRA,DF,Botafogo–RJ,32,1992,18.8,5,25,7,28.0,1.33,0.37,0.20,0.71,4,4,Matches,e73c9bb2
696,Douglas Telles,br BRA,MF,Flamengo,17,2007,0.9,2,5,3,60.0,5.36,3.21,0.40,0.67,0,0,Matches,2303801d
697,Thaciano,br BRA,MFFW,Santos,29,1995,6.8,3,17,5,29.4,2.49,0.73,0.18,0.60,0,0,Matches,139113e4
698,Thalys,br BRA,FW,Palmeiras,19,2005,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,b6b3abf3
699,Thiago,br BRA,GK,Vitória,25,1999,8.7,0,0,0,,0.00,0.00,,,0,0,Matches,602d20ae
700,Rafael Thyere,br BRA,DF,Sport Recife,31,1993,23.4,1,10,4,40.0,0.43,0.17,0.10,0.25,0,0,Matches,e2a29d9d
701,Tiago,br BRA,FW,Bahia,19,2005,10.0,3,18,8,44.4,1.80,0.80,0.17,0.38,0,0,Matches,77ee5b27
702,Guilherme Tinga,br BRA,DF,Fortaleza,31,1993,8.4,1,6,1,16.7,0.72,0.12,0.17,1.00,0,0,Matches,a8331ab0
703,Titi,br BRA,DF,Fortaleza,36,1988,3.0,0,0,0,,0.00,0.00,,,0,0,Matches,ea41ddf7
704,Kauan Toledo,br BRA,FW,Botafogo–RJ,18,2006,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,2cc7bb98
705,Rafael Tolói,it ITA,DF,São Paulo,34,1990,5.5,0,0,0,,0.00,0.00,,,0,0,Matches,c56dc39e
706,Félix Torres Caicedo,ec ECU,DF,Corinthians,28,1997,7.2,0,2,0,0.0,0.28,0.00,0.00,,0,0,Matches,c0a8860f
707,Facundo Torres,uy URU,MFFW,Palmeiras,24,2000,18.5,6,32,16,50.0,1.73,0.86,0.19,0.38,0,0,Matches,4de3b2c0
708,Bruno Tubarão,br BRA,DFMF,Ceará,29,1995,1.1,0,2,0,0.0,1.80,0.00,0.00,,0,0,Matches,5411ef4f
709,Enner Valencia,ec ECU,FW,Internacional,35,1989,7.0,1,14,6,42.9,2.01,0.86,0.07,0.17,0,0,Matches,fb485406
710,Vanderlan,br BRA,DFMF,Palmeiras,22,2002,2.2,0,0,0,,0.00,0.00,,,0,0,Matches,bd8432ff
711,Vanderlan,br BRA,DF,RB Bragantino,22,2002,11.7,0,4,1,25.0,0.34,0.09,0.00,0.00,0,0,Matches,bd8432ff
712,Guillermo Varela,uy URU,DF,Flamengo,31,1993,14.7,0,5,2,40.0,0.34,0.14,0.00,0.00,0,0,Matches,5c961282
713,Pablo Vegetti,ar ARG,FW,Vasco da Gama,36,1988,25.9,14,68,23,33.8,2.62,0.89,0.21,0.61,3,3,Matches,06cc28cd
714,Raphael Veiga,br BRA,MF,Palmeiras,29,1995,11.9,2,25,8,32.0,2.11,0.67,0.08,0.25,1,1,Matches,6e5a3bc7
715,Fausto Vera,ar ARG,MF,Atlético Mineiro,24,2000,12.5,1,12,1,8.3,0.96,0.08,0.08,1.00,0,0,Matches,8b3b381b
716,Gabriel Veron,br BRA,MF,Santos,22,2002,1.4,0,3,1,33.3,2.21,0.74,0.00,0.00,0,0,Matches,6bc49da7
717,Gabriel Veron,br BRA,FWMF,Juventude,22,2002,7.1,0,6,2,33.3,0.85,0.28,0.00,0.00,0,0,Matches,6bc49da7
718,João Victor,br BRA,DF,Vasco da Gama,26,1998,15.9,1,11,4,36.4,0.69,0.25,0.09,0.25,0,0,Matches,d60cf08d
719,João Victor,br BRA,DF,Mirassol,27,1997,34.0,2,12,4,33.3,0.35,0.12,0.17,0.50,0,0,Matches,d6d0c8bb
720,João Victor,br BRA,FW,Ceará,20,2004,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,e78d763e
721,João Victor,br BRA,DF,Flamengo,18,2007,2.2,0,1,0,0.0,0.46,0.00,0.00,,0,0,Matches,0eaa0f26
722,Marcos Victor,br BRA,DF,Ceará,23,2001,14.9,0,8,0,0.0,0.54,0.00,0.00,,0,0,Matches,d714fc5a
723,Lucas Vieira,br BRA,MF,Flamengo,17,2007,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,534f5cca
724,Viery,br BRA,DF,Grêmio,20,2005,0.6,0,0,0,,0.00,0.00,,,0,0,Matches,73bec74e
725,Lucas Villalba,ar ARG,DF,Cruzeiro,30,1994,31.8,1,22,5,22.7,0.69,0.16,0.05,0.20,0,0,Matches,2dc5144f
726,Mathías Villasanti,py PAR,MF,Grêmio,28,1997,12.8,0,6,0,0.0,0.47,0.00,0.00,,0,0,Matches,05b642f7
727,Matías Viña,uy URU,DF,Flamengo,27,1997,3.1,0,1,0,0.0,0.32,0.00,0.00,,0,0,Matches,08eb3b58
728,Vinícius,br BRA,MF,Ceará,33,1991,6.3,0,19,6,31.6,3.02,0.95,0.00,0.00,0,0,Matches,ee01c84d
729,Alix Vinicius,br BRA,DF,RB Bragantino,25,1999,9.6,0,5,1,20.0,0.52,0.10,0.00,0.00,0,0,Matches,2083298b
730,Carlos Vinícius,br BRA,FW,Grêmio,29,1995,10.5,12,29,15,51.7,2.77,1.43,0.41,0.80,3,3,Matches,8b529245
731,Vitão,br BRA,DF,Internacional,24,2000,30.2,0,16,5,31.3,0.53,0.17,0.00,0.00,0,0,Matches,d4f034db
732,Vitinho,br BRA,FW,Corinthians,31,1993,5.3,0,15,5,33.3,2.82,0.94,0.00,0.00,0,0,Matches,a9e68c94
733,Vitinho,br BRA,DF,Botafogo–RJ,25,1999,31.5,1,18,6,33.3,0.57,0.19,0.06,0.17,0,0,Matches,9295dc1c
734,Vitinho,br BRA,MFFW,Internacional,25,1999,18.7,5,36,10,27.8,1.93,0.54,0.14,0.50,0,0,Matches,06d4b2e4
735,Zé Vitor,br BRA,MF,Mirassol,24,2000,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,11283939
736,Tiago Volpi,br BRA,GK,Grêmio,34,1990,32.0,2,2,2,100.0,0.06,0.06,1.00,1.00,2,2,Matches,fba79ac8
737,Wagner,br BRA,DF,Grêmio,25,1999,26.3,0,10,6,60.0,0.38,0.23,0.00,0.00,0,0,Matches,25b28b59
738,Walace,br BRA,MF,Cruzeiro,29,1995,4.3,0,2,0,0.0,0.47,0.00,0.00,,0,0,Matches,26db8853
739,Wallace,br BRA,FW,Flamengo,19,2005,4.9,1,18,4,22.2,3.66,0.81,0.06,0.25,0,0,Matches,b83bc030
