,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
439,Matheus Martins,br BRA,MF,Botafogo–RJ,21,2003,7.3,1,17,8,47.1,2.34,1.10,0.06,0.13,0,0,Matches,73fd2787
440,Gustavo Martins Santos,br BRA,DF,Grêmio,22,2002,14.7,2,17,9,52.9,1.16,0.61,0.12,0.22,0,0,Matches,ae03ce49
441,Gonzalo Mastriani,uy URU,FW,Botafogo–RJ,31,1993,3.2,1,9,3,33.3,2.81,0.94,0.11,0.33,0,0,Matches,b4339e2b
442,Matheusinho,br BRA,MFFW,Sport Recife,26,1998,18.4,2,27,6,22.2,1.47,0.33,0.07,0.33,0,0,Matches,74f5a96d
443,Matheusinho,br BRA,MF,Vitória,27,1997,19.6,4,31,17,54.8,1.58,0.87,0.13,0.24,2,2,Matches,91c2ee76
444,Matheuzinho,br BRA,DFMF,Corinthians,24,2000,29.2,2,23,6,26.1,0.79,0.21,0.09,0.33,0,0,Matches,2a5bc0cd
445,Ricardo Mathias,br BRA,FW,Internacional,18,2006,9.0,5,26,13,50.0,2.89,1.45,0.19,0.38,0,0,Matches,cebd5c05
446,Mauricio,py PAR,MFFW,Palmeiras,23,2001,17.8,3,39,13,33.3,2.20,0.73,0.08,0.23,0,0,Matches,bf4cbc22
447,Maycon,br BRA,MF,Corinthians,27,1997,16.6,3,12,4,33.3,0.72,0.24,0.25,0.75,1,1,Matches,005ca692
448,Mayke,br BRA,DF,Santos,32,1992,9.1,0,4,0,0.0,0.44,0.00,0.00,,0,0,Matches,47431289
449,Mayke,br BRA,DFMF,Palmeiras,32,1992,2.3,0,1,0,0.0,0.43,0.00,0.00,,0,0,Matches,47431289
450,Luca Meirelles,br BRA,DF,Santos,17,2007,1.0,0,1,0,0.0,1.01,0.00,0.00,,0,0,Matches,a0860c1e
451,Arthur Melo,br BRA,MF,Grêmio,28,1996,12.0,0,13,4,30.8,1.08,0.33,0.00,0.00,0,0,Matches,48b3dd60
452,Memphis,nl NED,FW,Corinthians,30,1994,17.2,6,51,19,37.3,2.97,1.11,0.12,0.32,1,2,Matches,8f696594
453,Nathan Mendes,br BRA,DF,RB Bragantino,22,2002,12.9,0,3,0,0.0,0.23,0.00,0.00,,0,0,Matches,c5aa7b35
